,Area Unit,ANZSOC Division,Year,Region,Victimisations
279,Marewa.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
280,Nelson Park.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
281,Bluff Hill.,Sexual Assault and Related Offences,2023,Hawke Region,1
282,Mclean Park.,Acts Intended to Cause Injury,2023,Hawke Region,1
283,St Leonards.,Theft and Related Offences,2023,Hawke Region,1
284,Mayfair.,Theft and Related Offences,2023,Hawke Region,1
285,Mayfair.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
286,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
287,Onekawa West.,Theft and Related Offences,2023,Hawke Region,1
288,Waipukurau.,Theft and Related Offences,2023,Hawke Region,1
289,Te Mata.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Hawke Region,2
290,Mayfair.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
291,Akina.,Theft and Related Offences,2023,Hawke Region,1
292,Taradale South.,Theft and Related Offences,2023,Hawke Region,1
293,Camberley.,Theft and Related Offences,2023,Hawke Region,1
294,Tamatea South.,Theft and Related Offences,2023,Hawke Region,1
295,Taradale North.,Theft and Related Offences,2023,Hawke Region,1
296,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
297,Marewa.,Theft and Related Offences,2023,Hawke Region,1
298,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
299,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
300,Waimarama.,Theft and Related Offences,2023,Hawke Region,1
301,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
302,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
303,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
304,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
305,St Leonards.,Theft and Related Offences,2023,Hawke Region,1
306,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
307,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
308,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
309,Tamatea North.,Theft and Related Offences,2023,Hawke Region,1
310,Tamatea North.,Theft and Related Offences,2023,Hawke Region,1
311,St Leonards.,Theft and Related Offences,2023,Hawke Region,1
312,Flaxmere East.,Theft and Related Offences,2023,Hawke Region,1
313,Nelson Park.,Acts Intended to Cause Injury,2023,Hawke Region,1
314,Taradale North.,Acts Intended to Cause Injury,2023,Hawke Region,1
315,Camberley.,Acts Intended to Cause Injury,2023,Hawke Region,1
316,Bridge Pa.,Acts Intended to Cause Injury,2023,Hawke Region,2
317,Marewa.,Theft and Related Offences,2023,Hawke Region,1
318,Lochain.,Theft and Related Offences,2023,Hawke Region,1
319,Bluff Hill.,Theft and Related Offences,2023,Hawke Region,1
320,Greenmeadows.,Theft and Related Offences,2023,Hawke Region,1
321,Meeanee.,Theft and Related Offences,2023,Hawke Region,1
322,St Leonards.,Theft and Related Offences,2023,Hawke Region,1
323,Akina.,Acts Intended to Cause Injury,2023,Hawke Region,1
324,Onekawa South.,Acts Intended to Cause Injury,2023,Hawke Region,1
325,Marewa.,Acts Intended to Cause Injury,2023,Hawke Region,1
326,Hastings Central.,Acts Intended to Cause Injury,2023,Hawke Region,1
327,Marewa.,Acts Intended to Cause Injury,2023,Hawke Region,1
328,Poraiti.,Acts Intended to Cause Injury,2023,Hawke Region,1
329,Wairoa.,Acts Intended to Cause Injury,2023,Hawke Region,1
330,Woolwich.,Acts Intended to Cause Injury,2023,Hawke Region,1
331,Tamatea South.,Acts Intended to Cause Injury,2023,Hawke Region,2
332,Taradale South.,Acts Intended to Cause Injury,2023,Hawke Region,1
333,Bluff Hill.,Acts Intended to Cause Injury,2023,Hawke Region,1
334,Hastings Central.,Acts Intended to Cause Injury,2023,Hawke Region,1
335,Onekawa South.,Acts Intended to Cause Injury,2023,Hawke Region,1
336,Onekawa West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
337,Ahuriri.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
338,Pakipaki.,Acts Intended to Cause Injury,2023,Hawke Region,1
339,Puketitiri.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
340,Woolwich.,Theft and Related Offences,2023,Hawke Region,1
341,Mahora.,Theft and Related Offences,2023,Hawke Region,1
342,Marewa.,Theft and Related Offences,2023,Hawke Region,1
343,Mahora.,Theft and Related Offences,2023,Hawke Region,1
344,Hospital Hill.,Theft and Related Offences,2023,Hawke Region,1
345,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
346,Marewa.,Theft and Related Offences,2023,Hawke Region,1
347,Raureka.,Theft and Related Offences,2023,Hawke Region,1
348,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
349,Awatoto.,Theft and Related Offences,2023,Hawke Region,1
350,Mclean Park.,Theft and Related Offences,2023,Hawke Region,1
351,Taradale South.,Theft and Related Offences,2023,Hawke Region,1
352,Taradale South.,Theft and Related Offences,2023,Hawke Region,1
353,Greenmeadows.,Theft and Related Offences,2023,Hawke Region,1
354,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
355,Greenmeadows.,Theft and Related Offences,2023,Hawke Region,1
356,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
357,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
358,St Leonards.,Theft and Related Offences,2023,Hawke Region,1
359,St Leonards.,Theft and Related Offences,2023,Hawke Region,1
360,Omahu.,Sexual Assault and Related Offences,2023,Hawke Region,1
361,Nelson Park.,Sexual Assault and Related Offences,2023,Hawke Region,1
362,Bridge Pa.,Sexual Assault and Related Offences,2023,Hawke Region,1
363,Nelson Park.,Sexual Assault and Related Offences,2023,Hawke Region,1
364,Waipawa.,Theft and Related Offences,2023,Hawke Region,1
365,Havelock North Central.,Theft and Related Offences,2023,Hawke Region,1
366,Parkvale.,Theft and Related Offences,2023,Hawke Region,1
367,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
368,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
369,Onekawa Central.,Theft and Related Offences,2023,Hawke Region,1
370,Awatoto.,Theft and Related Offences,2023,Hawke Region,1
371,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
372,Akina.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
373,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
374,Onekawa South.,Theft and Related Offences,2023,Hawke Region,1
375,Taradale South.,Theft and Related Offences,2023,Hawke Region,1
376,Taradale South.,Theft and Related Offences,2023,Hawke Region,2
377,Waipukurau.,Theft and Related Offences,2023,Hawke Region,1
378,Parkvale.,Theft and Related Offences,2023,Hawke Region,1
379,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
380,Te Mata.,Theft and Related Offences,2023,Hawke Region,1
381,Bay View.,Theft and Related Offences,2023,Hawke Region,1
382,Camberley.,Theft and Related Offences,2023,Hawke Region,1
383,Clive.,Theft and Related Offences,2023,Hawke Region,1
384,Ahuriri.,Theft and Related Offences,2023,Hawke Region,1
385,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
386,Te Mata Hills.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Hawke Region,1
387,Hastings Central.,Acts Intended to Cause Injury,2023,Hawke Region,1
388,Hastings Central.,Acts Intended to Cause Injury,2023,Hawke Region,1
389,Camberley.,Acts Intended to Cause Injury,2023,Hawke Region,1
390,Flaxmere East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
391,Marewa.,Acts Intended to Cause Injury,2023,Hawke Region,1
