,Area Unit,ANZSOC Division,Year,Region,Victimisations
166,Hawera South.,Acts Intended to Cause Injury,2023,Taranaki Region,1
167,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
168,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
169,Kaimata.,Acts Intended to Cause Injury,2023,Taranaki Region,1
170,Highlands Park.,Acts Intended to Cause Injury,2023,Taranaki Region,1
171,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
172,Hawera South.,Acts Intended to Cause Injury,2023,Taranaki Region,1
173,Kahui.,Acts Intended to Cause Injury,2023,Taranaki Region,1
174,Kaitake.,Acts Intended to Cause Injury,2023,Taranaki Region,1
175,Barrett.,Acts Intended to Cause Injury,2023,Taranaki Region,1
176,Welbourn.,Acts Intended to Cause Injury,2023,Taranaki Region,2
177,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,2
178,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
179,Marsland Hill.,Acts Intended to Cause Injury,2023,Taranaki Region,1
180,Bell Block.,Acts Intended to Cause Injury,2023,Taranaki Region,1
181,Struan Park.,Acts Intended to Cause Injury,2023,Taranaki Region,1
182,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
183,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
184,Glen Avon.,Acts Intended to Cause Injury,2023,Taranaki Region,1
185,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
186,Spotswood.,Acts Intended to Cause Injury,2023,Taranaki Region,1
187,Marfell.,Acts Intended to Cause Injury,2023,Taranaki Region,1
188,Moturoa.,Acts Intended to Cause Injury,2023,Taranaki Region,1
189,Westown.,Acts Intended to Cause Injury,2023,Taranaki Region,1
190,Bell Block.,Acts Intended to Cause Injury,2023,Taranaki Region,1
191,Bell Block.,Acts Intended to Cause Injury,2023,Taranaki Region,1
192,Welbourn.,Acts Intended to Cause Injury,2023,Taranaki Region,1
193,Okoki-Okau.,Acts Intended to Cause Injury,2023,Taranaki Region,1
194,Westown.,Acts Intended to Cause Injury,2023,Taranaki Region,1
195,Moturoa.,Acts Intended to Cause Injury,2023,Taranaki Region,1
196,Kahui.,Acts Intended to Cause Injury,2023,Taranaki Region,1
197,Urenui.,Acts Intended to Cause Injury,2023,Taranaki Region,1
198,Kaponga.,Acts Intended to Cause Injury,2023,Taranaki Region,1
199,Struan Park.,Acts Intended to Cause Injury,2023,Taranaki Region,1
200,Lynmouth.,Acts Intended to Cause Injury,2023,Taranaki Region,1
201,Lynmouth.,Acts Intended to Cause Injury,2023,Taranaki Region,1
202,Bowden.,Acts Intended to Cause Injury,2023,Taranaki Region,1
203,Hawera South.,Acts Intended to Cause Injury,2023,Taranaki Region,1
204,Welbourn.,Acts Intended to Cause Injury,2023,Taranaki Region,1
205,Lynmouth.,Acts Intended to Cause Injury,2023,Taranaki Region,1
206,Merrilands.,Acts Intended to Cause Injury,2023,Taranaki Region,1
207,Moturoa.,Acts Intended to Cause Injury,2023,Taranaki Region,1
208,Hawera South.,Acts Intended to Cause Injury,2023,Taranaki Region,1
209,Okaiawa.,Acts Intended to Cause Injury,2023,Taranaki Region,1
210,Struan Park.,Acts Intended to Cause Injury,2023,Taranaki Region,1
211,Struan Park.,Acts Intended to Cause Injury,2023,Taranaki Region,1
212,Lepperton.,Acts Intended to Cause Injury,2023,Taranaki Region,2
213,Stratford East.,Acts Intended to Cause Injury,2023,Taranaki Region,2
214,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,2
215,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
216,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
217,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
218,Glen Avon.,Acts Intended to Cause Injury,2023,Taranaki Region,1
219,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
220,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
221,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
222,Patea.,Acts Intended to Cause Injury,2023,Taranaki Region,1
223,Marfell.,Acts Intended to Cause Injury,2023,Taranaki Region,1
224,Kahui.,Acts Intended to Cause Injury,2023,Taranaki Region,2
225,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,3
226,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
227,Westown.,Acts Intended to Cause Injury,2023,Taranaki Region,1
228,Waitara West.,Acts Intended to Cause Injury,2023,Taranaki Region,1
229,Marfell.,Acts Intended to Cause Injury,2023,Taranaki Region,1
