,Area Unit,ANZSOC Division,Year,Region,Victimisations
202,Maunu.,Theft and Related Offences,2023,Northland,1
203,Whangarei Central.,Theft and Related Offences,2023,Northland,1
204,Pokere-Waihaha.,Theft and Related Offences,2023,Northland,1
205,Dargaville.,Acts Intended to Cause Injury,2023,Northland,1
206,Kamo East.,Theft and Related Offences,2023,Northland,1
207,Whangarei Central.,Theft and Related Offences,2023,Northland,1
208,Motutangi-Kareponia.,Acts Intended to Cause Injury,2023,Northland,1
209,Tikipunga West.,Acts Intended to Cause Injury,2023,Northland,1
210,Kaikohe.,Acts Intended to Cause Injury,2023,Northland,1
211,Springs Flat.,Theft and Related Offences,2023,Northland,1
212,Woodhill.,Theft and Related Offences,2023,Northland,1
213,Hokianga South.,"Robbery, Extortion and Related Offences",2023,Northland,1
214,Morningside.,Theft and Related Offences,2023,Northland,1
215,Ruawai.,Acts Intended to Cause Injury,2023,Northland,1
216,Moerewa.,Sexual Assault and Related Offences,2023,Northland,1
217,Kaitaia East.,Theft and Related Offences,2023,Northland,1
218,Parahaki.,Theft and Related Offences,2023,Northland,1
219,Dargaville.,Theft and Related Offences,2023,Northland,1
220,Riverside.,Theft and Related Offences,2023,Northland,1
221,Kamo East.,Theft and Related Offences,2023,Northland,1
222,Whangarei Central.,Theft and Related Offences,2023,Northland,1
223,Paihia.,Theft and Related Offences,2023,Northland,1
224,North Cape.,Acts Intended to Cause Injury,2023,Northland,1
225,Woodhill.,Theft and Related Offences,2023,Northland,1
226,Kamo West.,Theft and Related Offences,2023,Northland,1
227,Tikipunga West.,Acts Intended to Cause Injury,2023,Northland,1
228,Otangarei.,Acts Intended to Cause Injury,2023,Northland,1
229,Whangarei Central.,Acts Intended to Cause Injury,2023,Northland,1
230,Hikurangi.,Theft and Related Offences,2023,Northland,1
231,Parahaki.,Theft and Related Offences,2023,Northland,1
232,Regent.,"Robbery, Extortion and Related Offences",2023,Northland,1
233,Morningside.,Theft and Related Offences,2023,Northland,1
234,Whangarei Central.,Acts Intended to Cause Injury,2023,Northland,1
235,Kaitaia West.,Acts Intended to Cause Injury,2023,Northland,1
236,Horahora.,Theft and Related Offences,2023,Northland,1
237,Springs Flat.,Theft and Related Offences,2023,Northland,1
238,Parahaki.,Acts Intended to Cause Injury,2023,Northland,1
239,Russell.,Theft and Related Offences,2023,Northland,1
240,Kaitaia East.,Theft and Related Offences,2023,Northland,1
241,Kaitaia West.,Acts Intended to Cause Injury,2023,Northland,1
242,Marsden Point-Ruakaka.,Acts Intended to Cause Injury,2023,Northland,1
243,Marsden Point-Ruakaka.,Acts Intended to Cause Injury,2023,Northland,1
244,Kamo East.,Theft and Related Offences,2023,Northland,1
245,Taipa Bay-Mangonui.,Theft and Related Offences,2023,Northland,1
246,Kaikohe.,"Robbery, Extortion and Related Offences",2023,Northland,1
247,Morningside.,Theft and Related Offences,2023,Northland,1
248,Vinetown.,Sexual Assault and Related Offences,2023,Northland,1
249,Dargaville.,Theft and Related Offences,2023,Northland,1
250,Marsden Point-Ruakaka.,Theft and Related Offences,2023,Northland,1
251,Whangarei Central.,Acts Intended to Cause Injury,2023,Northland,1
252,Whangarei Central.,Theft and Related Offences,2023,Northland,1
253,Tikipunga West.,Theft and Related Offences,2023,Northland,1
254,Dargaville.,Acts Intended to Cause Injury,2023,Northland,1
255,Rehia-Oneriri.,Theft and Related Offences,2023,Northland,1
256,Kaeo.,Theft and Related Offences,2023,Northland,1
257,Rehia-Oneriri.,Acts Intended to Cause Injury,2023,Northland,1
258,Raumanga West.,Acts Intended to Cause Injury,2023,Northland,1
259,Paihia.,Acts Intended to Cause Injury,2023,Northland,1
260,Tikipunga East.,Theft and Related Offences,2023,Northland,1
261,Parahaki.,Theft and Related Offences,2023,Northland,1
262,Whau Valley.,Theft and Related Offences,2023,Northland,1
263,Whangarei Central.,"Robbery, Extortion and Related Offences",2023,Northland,1
264,Onerahi.,Theft and Related Offences,2023,Northland,1
265,Kaitaia West.,Sexual Assault and Related Offences,2023,Northland,1
266,Kamo West.,Theft and Related Offences,2023,Northland,1
267,Kaitaia West.,Theft and Related Offences,2023,Northland,1
268,Kaikohe.,Theft and Related Offences,2023,Northland,1
269,Whangarei Central.,Acts Intended to Cause Injury,2023,Northland,1
270,Hikurangi.,Theft and Related Offences,2023,Northland,1
271,Kerikeri.,Theft and Related Offences,2023,Northland,1
272,Regent.,Acts Intended to Cause Injury,2023,Northland,2
273,Dargaville.,Acts Intended to Cause Injury,2023,Northland,1
274,Whangarei Central.,Acts Intended to Cause Injury,2023,Northland,1
275,Paihia.,Theft and Related Offences,2023,Northland,1
276,Woodhill.,Theft and Related Offences,2023,Northland,1
277,Kensington.,Theft and Related Offences,2023,Northland,1
278,Whangarei Central.,"Robbery, Extortion and Related Offences",2023,Northland,1
279,Onerahi.,Theft and Related Offences,2023,Northland,1
280,Whangarei Central.,Theft and Related Offences,2023,Northland,1
281,Dargaville.,Acts Intended to Cause Injury,2023,Northland,1
282,Pokere-Waihaha.,Theft and Related Offences,2023,Northland,1
283,Onerahi.,Theft and Related Offences,2023,Northland,1
284,Kerikeri.,Acts Intended to Cause Injury,2023,Northland,1
285,Moerewa.,Acts Intended to Cause Injury,2023,Northland,1
286,Horahora.,Acts Intended to Cause Injury,2023,Northland,1
287,Opouteke-Tanekaha.,Theft and Related Offences,2023,Northland,1
288,Whangarei Central.,Theft and Related Offences,2023,Northland,1
289,Whangarei Central.,Theft and Related Offences,2023,Northland,1
290,Kerikeri.,"Robbery, Extortion and Related Offences",2023,Northland,1
291,Opouteke-Tanekaha.,Theft and Related Offences,2023,Northland,1
292,Waihou Valley-Hupara.,Theft and Related Offences,2023,Northland,1
293,Woodhill.,Acts Intended to Cause Injury,2023,Northland,1
294,Tikipunga West.,Theft and Related Offences,2023,Northland,1
295,Ngapuhi-Kaikou.,Theft and Related Offences,2023,Northland,1
296,Otaika-Portland.,Acts Intended to Cause Injury,2023,Northland,1
297,Paihia.,Theft and Related Offences,2023,Northland,1
298,Whangarei Central.,Acts Intended to Cause Injury,2023,Northland,1
299,Motutangi-Kareponia.,Theft and Related Offences,2023,Northland,1
300,Okaihau.,Theft and Related Offences,2023,Northland,1
301,Otangarei.,Acts Intended to Cause Injury,2023,Northland,1
302,Regent.,Theft and Related Offences,2023,Northland,1
303,Waipu.,Theft and Related Offences,2023,Northland,1
304,Tikipunga West.,Acts Intended to Cause Injury,2023,Northland,1
305,Motutangi-Kareponia.,Acts Intended to Cause Injury,2023,Northland,1
306,Whangarei Central.,Theft and Related Offences,2023,Northland,1
307,Kaitaia East.,Acts Intended to Cause Injury,2023,Northland,1
308,Regent.,Theft and Related Offences,2023,Northland,1
309,Mangawhai.,Theft and Related Offences,2023,Northland,1
310,Regent.,Theft and Related Offences,2023,Northland,1
311,Dargaville.,"Robbery, Extortion and Related Offences",2023,Northland,1
312,Opouteke-Tanekaha.,Theft and Related Offences,2023,Northland,1
313,Regent.,Theft and Related Offences,2023,Northland,1
314,Opua East.,Theft and Related Offences,2023,Northland,1
315,Kaikohe.,Theft and Related Offences,2023,Northland,1
316,Kaikohe.,Acts Intended to Cause Injury,2023,Northland,1
317,Wharekohe-Oakleigh.,Theft and Related Offences,2023,Northland,1
318,Mairtown.,Theft and Related Offences,2023,Northland,1
319,Kaitaia West.,Theft and Related Offences,2023,Northland,1
320,Whangarei Central.,"Robbery, Extortion and Related Offences",2023,Northland,1
321,Parahaki.,Theft and Related Offences,2023,Northland,1
322,Kamo East.,Acts Intended to Cause Injury,2023,Northland,1
323,Morningside.,Theft and Related Offences,2023,Northland,1
324,Kensington.,Theft and Related Offences,2023,Northland,1
325,Regent.,Acts Intended to Cause Injury,2023,Northland,1
326,Sherwood Rise.,Theft and Related Offences,2023,Northland,1
327,Kerikeri.,Theft and Related Offences,2023,Northland,1
328,Awanui.,Acts Intended to Cause Injury,2023,Northland,1
329,Regent.,Theft and Related Offences,2023,Northland,1
