,Area Unit,ANZSOC Division,Year,Region,Victimisations
195,South Dunedin.,Theft and Related Offences,2023,Otago Region,1
196,North Dunedin.,Theft and Related Offences,2023,Otago Region,1
197,Oamaru Central.,Theft and Related Offences,2023,Otago Region,1
198,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
199,Abbotsford.,Theft and Related Offences,2023,Otago Region,1
200,Caledonian.,Theft and Related Offences,2023,Otago Region,1
201,Vauxhall.,Theft and Related Offences,2023,Otago Region,1
202,St Kilda West.,Theft and Related Offences,2023,Otago Region,1
203,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
204,North Dunedin.,Theft and Related Offences,2023,Otago Region,1
205,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
206,Kenmure.,Theft and Related Offences,2023,Otago Region,1
207,Bruce.,Acts Intended to Cause Injury,2023,Otago Region,1
208,High St-Stuart St.,Acts Intended to Cause Injury,2023,Otago Region,1
209,Milton.,Acts Intended to Cause Injury,2023,Otago Region,1
210,Oamaru North.,Acts Intended to Cause Injury,2023,Otago Region,1
211,Halfway Bush.,Acts Intended to Cause Injury,2023,Otago Region,1
212,South Dunedin.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
213,Brockville.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
214,Cromwell.,Sexual Assault and Related Offences,2023,Otago Region,1
215,Oamaru Central.,Sexual Assault and Related Offences,2023,Otago Region,1
216,South Dunedin.,Sexual Assault and Related Offences,2023,Otago Region,1
217,Alexandra.,Sexual Assault and Related Offences,2023,Otago Region,1
218,Fernhill.,Acts Intended to Cause Injury,2023,Otago Region,1
219,Harbourside.,Acts Intended to Cause Injury,2023,Otago Region,1
220,Bruce.,Acts Intended to Cause Injury,2023,Otago Region,1
221,Brockville.,Acts Intended to Cause Injury,2023,Otago Region,1
222,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
223,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
224,North East Valley.,Theft and Related Offences,2023,Otago Region,1
225,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
226,Balclutha.,Theft and Related Offences,2023,Otago Region,1
227,Wanaka.,Theft and Related Offences,2023,Otago Region,1
228,Fernhill.,Theft and Related Offences,2023,Otago Region,1
229,Bruce.,Acts Intended to Cause Injury,2023,Otago Region,1
230,Mosgiel South.,Acts Intended to Cause Injury,2023,Otago Region,2
231,Halfway Bush.,Acts Intended to Cause Injury,2023,Otago Region,2
232,St Kilda Central.,Acts Intended to Cause Injury,2023,Otago Region,3
233,St Kilda Central.,Acts Intended to Cause Injury,2023,Otago Region,1
234,High St-Stuart St.,Acts Intended to Cause Injury,2023,Otago Region,1
235,Oamaru North.,Acts Intended to Cause Injury,2023,Otago Region,1
236,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
237,South Dunedin.,Acts Intended to Cause Injury,2023,Otago Region,1
238,Bush Road.,Acts Intended to Cause Injury,2023,Otago Region,1
239,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
240,Dunstan.,Sexual Assault and Related Offences,2023,Otago Region,1
241,Port Chalmers.,Sexual Assault and Related Offences,2023,Otago Region,2
242,Opoho.,Sexual Assault and Related Offences,2023,Otago Region,1
243,Stuart St-Frederick St.,Sexual Assault and Related Offences,2023,Otago Region,1
244,Corstorphine East.,Sexual Assault and Related Offences,2023,Otago Region,1
245,Forbury.,Sexual Assault and Related Offences,2023,Otago Region,1
246,Woodhaugh.,Theft and Related Offences,2023,Otago Region,1
247,St Clair.,Theft and Related Offences,2023,Otago Region,1
248,Oamaru North.,Theft and Related Offences,2023,Otago Region,1
249,East Taieri.,Theft and Related Offences,2023,Otago Region,1
250,St Kilda Central.,Theft and Related Offences,2023,Otago Region,1
251,Forbury.,Theft and Related Offences,2023,Otago Region,1
252,Caversham.,Sexual Assault and Related Offences,2023,Otago Region,1
253,Stuart St-Frederick St.,Sexual Assault and Related Offences,2023,Otago Region,1
254,Hampden.,Sexual Assault and Related Offences,2023,Otago Region,1
255,Caversham.,Sexual Assault and Related Offences,2023,Otago Region,1
256,Mornington.,Sexual Assault and Related Offences,2023,Otago Region,1
257,Taieri.,Sexual Assault and Related Offences,2023,Otago Region,1
258,Taieri.,Sexual Assault and Related Offences,2023,Otago Region,1
259,Stuart St-Frederick St.,Sexual Assault and Related Offences,2023,Otago Region,1
260,Cromwell.,Sexual Assault and Related Offences,2023,Otago Region,1
261,High St-Stuart St.,Sexual Assault and Related Offences,2023,Otago Region,1
262,Bruce.,Sexual Assault and Related Offences,2023,Otago Region,1
263,Roslyn South.,Sexual Assault and Related Offences,2023,Otago Region,1
264,High St-Stuart St.,Sexual Assault and Related Offences,2023,Otago Region,1
265,High St-Stuart St.,Sexual Assault and Related Offences,2023,Otago Region,1
266,High St-Stuart St.,Sexual Assault and Related Offences,2023,Otago Region,1
267,Roxburgh.,Sexual Assault and Related Offences,2023,Otago Region,1
268,Orana Park.,Sexual Assault and Related Offences,2023,Otago Region,1
269,Port Chalmers.,Sexual Assault and Related Offences,2023,Otago Region,1
270,Concord.,Acts Intended to Cause Injury,2023,Otago Region,1
271,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
272,South Dunedin.,Acts Intended to Cause Injury,2023,Otago Region,1
273,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
274,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
275,High St-Stuart St.,Acts Intended to Cause Injury,2023,Otago Region,1
276,St Kilda Central.,Sexual Assault and Related Offences,2023,Otago Region,1
277,Bruce.,Sexual Assault and Related Offences,2023,Otago Region,1
278,Belleknowes.,Sexual Assault and Related Offences,2023,Otago Region,1
279,Oamaru Central.,Sexual Assault and Related Offences,2023,Otago Region,1
280,Stuart St-Frederick St.,Sexual Assault and Related Offences,2023,Otago Region,1
281,North East Valley.,Theft and Related Offences,2023,Otago Region,1
282,South Dunedin.,Theft and Related Offences,2023,Otago Region,1
283,Wanaka.,Theft and Related Offences,2023,Otago Region,1
284,Mornington.,Theft and Related Offences,2023,Otago Region,1
285,Wanaka.,Theft and Related Offences,2023,Otago Region,1
286,Caledonian.,Theft and Related Offences,2023,Otago Region,1
287,North East Valley.,Theft and Related Offences,2023,Otago Region,1
288,St Clair.,Acts Intended to Cause Injury,2023,Otago Region,1
289,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
290,Kaitangata.,Acts Intended to Cause Injury,2023,Otago Region,1
291,Bruce.,Acts Intended to Cause Injury,2023,Otago Region,1
292,Alexandra.,Acts Intended to Cause Injury,2023,Otago Region,1
293,Evansdale.,Theft and Related Offences,2023,Otago Region,1
294,South Dunedin.,Theft and Related Offences,2023,Otago Region,1
295,North East Valley.,Theft and Related Offences,2023,Otago Region,1
296,Corstorphine West.,Theft and Related Offences,2023,Otago Region,1
297,Roslyn North.,Theft and Related Offences,2023,Otago Region,1
298,Mosgiel South.,Theft and Related Offences,2023,Otago Region,1
299,East Taieri.,Acts Intended to Cause Injury,2023,Otago Region,1
300,Mosgiel South.,Acts Intended to Cause Injury,2023,Otago Region,1
301,Concord.,Acts Intended to Cause Injury,2023,Otago Region,1
302,Vauxhall.,Acts Intended to Cause Injury,2023,Otago Region,1
303,Forbury.,Acts Intended to Cause Injury,2023,Otago Region,1
304,Kaitangata.,Theft and Related Offences,2023,Otago Region,1
305,Belleknowes.,Theft and Related Offences,2023,Otago Region,1
306,Concord.,Theft and Related Offences,2023,Otago Region,1
307,High St-Stuart St.,Theft and Related Offences,2023,Otago Region,1
308,Ravensbourne.,Theft and Related Offences,2023,Otago Region,1
309,Mornington.,Theft and Related Offences,2023,Otago Region,1
310,Wanaka.,Theft and Related Offences,2023,Otago Region,1
311,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
312,Roslyn South.,Theft and Related Offences,2023,Otago Region,1
313,South Dunedin.,Theft and Related Offences,2023,Otago Region,1
314,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
315,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
316,Oamaru South.,Theft and Related Offences,2023,Otago Region,1
317,Fernhill.,Theft and Related Offences,2023,Otago Region,1
318,Otago University.,Theft and Related Offences,2023,Otago Region,1
319,Forbury.,Theft and Related Offences,2023,Otago Region,1
320,Vauxhall.,Theft and Related Offences,2023,Otago Region,1
321,Forbury.,Theft and Related Offences,2023,Otago Region,1
322,Bruce.,Acts Intended to Cause Injury,2023,Otago Region,1
